"Notes"	"ICD Chapter"	"ICD Chapter Code"	"Cause of death"	"Cause of death Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"Certain infectious and parasitic diseases"	"A00-B99"	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Michigan"	"26"	250	9883640	2.5
	"Certain infectious and parasitic diseases"	"A00-B99"	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Minnesota"	"27"	90	5303925	1.7
	"Certain infectious and parasitic diseases"	"A00-B99"	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Mississippi"	"28"	23	2967297	0.8
	"Certain infectious and parasitic diseases"	"A00-B99"	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Missouri"	"29"	192	5988927	3.2
	"Certain infectious and parasitic diseases"	"A00-B99"	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Nebraska"	"31"	22	1826341	1.2
	"Certain infectious and parasitic diseases"	"A00-B99"	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Nevada"	"32"	35	2700551	1.3
	"Certain infectious and parasitic diseases"	"A00-B99"	"Enterocolitis due to Clostridium difficile"	"A04.7"	"New Hampshire"	"33"	42	1316470	3.2
	"Certain infectious and parasitic diseases"	"A00-B99"	"Enterocolitis due to Clostridium difficile"	"A04.7"	"New Jersey"	"34"	238	8791894	2.7
	"Certain infectious and parasitic diseases"	"A00-B99"	"Enterocolitis due to Clostridium difficile"	"A04.7"	"New Mexico"	"35"	58	2059179	2.8
	"Certain infectious and parasitic diseases"	"A00-B99"	"Enterocolitis due to Clostridium difficile"	"A04.7"	"New York"	"36"	542	19378102	2.8
	"Certain infectious and parasitic diseases"	"A00-B99"	"Enterocolitis due to Clostridium difficile"	"A04.7"	"North Carolina"	"37"	189	9535483	2.0
	"Certain infectious and parasitic diseases"	"A00-B99"	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Ohio"	"39"	428	11536504	3.7
	"Certain infectious and parasitic diseases"	"A00-B99"	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Oklahoma"	"40"	113	3751351	3.0
	"Certain infectious and parasitic diseases"	"A00-B99"	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Oregon"	"41"	73	3831074	1.9
	"Certain infectious and parasitic diseases"	"A00-B99"	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Pennsylvania"	"42"	391	12702379	3.1
	"Certain infectious and parasitic diseases"	"A00-B99"	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Rhode Island"	"44"	90	1052567	8.6
	"Certain infectious and parasitic diseases"	"A00-B99"	"Enterocolitis due to Clostridium difficile"	"A04.7"	"South Carolina"	"45"	64	4625364	1.4
	"Certain infectious and parasitic diseases"	"A00-B99"	"Enterocolitis due to Clostridium difficile"	"A04.7"	"South Dakota"	"46"	13	814180	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Tennessee"	"47"	135	6346105	2.1
	"Certain infectious and parasitic diseases"	"A00-B99"	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Texas"	"48"	297	25145561	1.2
	"Certain infectious and parasitic diseases"	"A00-B99"	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Utah"	"49"	19	2763885	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Vermont"	"50"	17	625741	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Virginia"	"51"	188	8001024	2.3
	"Certain infectious and parasitic diseases"	"A00-B99"	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Washington"	"53"	174	6724540	2.6
	"Certain infectious and parasitic diseases"	"A00-B99"	"Enterocolitis due to Clostridium difficile"	"A04.7"	"West Virginia"	"54"	70	1852994	3.8
	"Certain infectious and parasitic diseases"	"A00-B99"	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Wisconsin"	"55"	103	5686986	1.8
	"Certain infectious and parasitic diseases"	"A00-B99"	"Other specified bacterial intestinal infections"	"A04.8"	"New York"	"36"	11	19378102	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Viral intestinal infection, unspecified"	"A08.4"	"California"	"06"	14	37253956	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	"Alabama"	"01"	11	4779736	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	"Arizona"	"04"	17	6392017	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	"California"	"06"	64	37253956	0.2
	"Certain infectious and parasitic diseases"	"A00-B99"	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	"Florida"	"12"	35	18801310	0.2
	"Certain infectious and parasitic diseases"	"A00-B99"	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	"Georgia"	"13"	22	9687653	0.2
	"Certain infectious and parasitic diseases"	"A00-B99"	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	"Illinois"	"17"	30	12830632	0.2
	"Certain infectious and parasitic diseases"	"A00-B99"	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	"Indiana"	"18"	15	6483802	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	"Kentucky"	"21"	10	4339367	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	"Louisiana"	"22"	12	4533372	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	"Maryland"	"24"	11	5773552	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	"Massachusetts"	"25"	15	6547629	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	"Michigan"	"26"	14	9883640	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	"Missouri"	"29"	12	5988927	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	"New Jersey"	"34"	21	8791894	0.2
	"Certain infectious and parasitic diseases"	"A00-B99"	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	"New York"	"36"	42	19378102	0.2
	"Certain infectious and parasitic diseases"	"A00-B99"	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	"North Carolina"	"37"	13	9535483	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	"Ohio"	"39"	33	11536504	0.3
	"Certain infectious and parasitic diseases"	"A00-B99"	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	"Pennsylvania"	"42"	26	12702379	0.2
	"Certain infectious and parasitic diseases"	"A00-B99"	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	"South Carolina"	"45"	10	4625364	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	"Tennessee"	"47"	16	6346105	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	"Texas"	"48"	42	25145561	0.2
	"Certain infectious and parasitic diseases"	"A00-B99"	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	"Virginia"	"51"	14	8001024	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	"Wisconsin"	"55"	16	5686986	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"Alabama"	"01"	40	4779736	0.8
	"Certain infectious and parasitic diseases"	"A00-B99"	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"Arizona"	"04"	37	6392017	0.6
	"Certain infectious and parasitic diseases"	"A00-B99"	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"Arkansas"	"05"	21	2915918	0.7
	"Certain infectious and parasitic diseases"	"A00-B99"	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"California"	"06"	167	37253956	0.4
	"Certain infectious and parasitic diseases"	"A00-B99"	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"Colorado"	"08"	22	5029196	0.4
	"Certain infectious and parasitic diseases"	"A00-B99"	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"Connecticut"	"09"	34	3574097	1.0
	"Certain infectious and parasitic diseases"	"A00-B99"	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"Florida"	"12"	123	18801310	0.7
	"Certain infectious and parasitic diseases"	"A00-B99"	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"Georgia"	"13"	51	9687653	0.5
	"Certain infectious and parasitic diseases"	"A00-B99"	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"Idaho"	"16"	10	1567582	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"Illinois"	"17"	132	12830632	1.0
	"Certain infectious and parasitic diseases"	"A00-B99"	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"Indiana"	"18"	49	6483802	0.8
	"Certain infectious and parasitic diseases"	"A00-B99"	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"Iowa"	"19"	31	3046355	1.0
	"Certain infectious and parasitic diseases"	"A00-B99"	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"Kansas"	"20"	11	2853118	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"Kentucky"	"21"	36	4339367	0.8
	"Certain infectious and parasitic diseases"	"A00-B99"	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"Louisiana"	"22"	16	4533372	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"Maine"	"23"	12	1328361	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"Maryland"	"24"	34	5773552	0.6
	"Certain infectious and parasitic diseases"	"A00-B99"	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"Massachusetts"	"25"	85	6547629	1.3
	"Certain infectious and parasitic diseases"	"A00-B99"	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"Michigan"	"26"	69	9883640	0.7
	"Certain infectious and parasitic diseases"	"A00-B99"	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"Minnesota"	"27"	22	5303925	0.4
	"Certain infectious and parasitic diseases"	"A00-B99"	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"Mississippi"	"28"	17	2967297	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"Missouri"	"29"	46	5988927	0.8
	"Certain infectious and parasitic diseases"	"A00-B99"	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"Montana"	"30"	10	989415	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"Nebraska"	"31"	15	1826341	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"Nevada"	"32"	15	2700551	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"New Hampshire"	"33"	16	1316470	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"New Jersey"	"34"	69	8791894	0.8
	"Certain infectious and parasitic diseases"	"A00-B99"	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"New Mexico"	"35"	12	2059179	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"New York"	"36"	182	19378102	0.9
	"Certain infectious and parasitic diseases"	"A00-B99"	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"North Carolina"	"37"	85	9535483	0.9
	"Certain infectious and parasitic diseases"	"A00-B99"	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"Ohio"	"39"	88	11536504	0.8
	"Certain infectious and parasitic diseases"	"A00-B99"	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"Oklahoma"	"40"	25	3751351	0.7
	"Certain infectious and parasitic diseases"	"A00-B99"	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"Oregon"	"41"	44	3831074	1.1
	"Certain infectious and parasitic diseases"	"A00-B99"	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"Pennsylvania"	"42"	107	12702379	0.8
	"Certain infectious and parasitic diseases"	"A00-B99"	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"Rhode Island"	"44"	12	1052567	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"South Carolina"	"45"	29	4625364	0.6
	"Certain infectious and parasitic diseases"	"A00-B99"	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"Tennessee"	"47"	38	6346105	0.6
	"Certain infectious and parasitic diseases"	"A00-B99"	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"Texas"	"48"	126	25145561	0.5
	"Certain infectious and parasitic diseases"	"A00-B99"	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"Utah"	"49"	15	2763885	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"Virginia"	"51"	43	8001024	0.5
	"Certain infectious and parasitic diseases"	"A00-B99"	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"Washington"	"53"	43	6724540	0.6
	"Certain infectious and parasitic diseases"	"A00-B99"	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"West Virginia"	"54"	14	1852994	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"Wisconsin"	"55"	45	5686986	0.8
	"Certain infectious and parasitic diseases"	"A00-B99"	"Tuberculosis of lung, without mention of bacteriological or histological confirmation"	"A16.2"	"California"	"06"	53	37253956	0.1
	"Certain infectious and parasitic diseases"	"A00-B99"	"Tuberculosis of lung, without mention of bacteriological or histological confirmation"	"A16.2"	"Florida"	"12"	16	18801310	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Tuberculosis of lung, without mention of bacteriological or histological confirmation"	"A16.2"	"Michigan"	"26"	10	9883640	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Tuberculosis of lung, without mention of bacteriological or histological confirmation"	"A16.2"	"New York"	"36"	20	19378102	0.1
	"Certain infectious and parasitic diseases"	"A00-B99"	"Tuberculosis of lung, without mention of bacteriological or histological confirmation"	"A16.2"	"Tennessee"	"47"	10	6346105	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Tuberculosis of lung, without mention of bacteriological or histological confirmation"	"A16.2"	"Texas"	"48"	32	25145561	0.1
	"Certain infectious and parasitic diseases"	"A00-B99"	"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation"	"A16.9"	"California"	"06"	34	37253956	0.1
	"Certain infectious and parasitic diseases"	"A00-B99"	"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation"	"A16.9"	"Florida"	"12"	13	18801310	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation"	"A16.9"	"New Jersey"	"34"	10	8791894	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation"	"A16.9"	"Texas"	"48"	19	25145561	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Miliary tuberculosis, unspecified"	"A19.9"	"California"	"06"	10	37253956	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Pulmonary mycobacterial infection"	"A31.0"	"California"	"06"	21	37253956	0.1
	"Certain infectious and parasitic diseases"	"A00-B99"	"Pulmonary mycobacterial infection"	"A31.0"	"Florida"	"12"	22	18801310	0.1
	"Certain infectious and parasitic diseases"	"A00-B99"	"Pulmonary mycobacterial infection"	"A31.0"	"Georgia"	"13"	10	9687653	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Pulmonary mycobacterial infection"	"A31.0"	"Illinois"	"17"	15	12830632	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Pulmonary mycobacterial infection"	"A31.0"	"New York"	"36"	10	19378102	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Pulmonary mycobacterial infection"	"A31.0"	"North Carolina"	"37"	11	9535483	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Pulmonary mycobacterial infection"	"A31.0"	"Texas"	"48"	20	25145561	0.1
	"Certain infectious and parasitic diseases"	"A00-B99"	"Septicaemia due to streptococcus, group D"	"A40.2"	"Florida"	"12"	10	18801310	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Septicaemia due to streptococcus, group D"	"A40.2"	"New York"	"36"	13	19378102	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Septicaemia due to streptococcus, group D"	"A40.2"	"Pennsylvania"	"42"	10	12702379	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"	"California"	"06"	12	37253956	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"	"Ohio"	"39"	11	11536504	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"	"Texas"	"48"	20	25145561	0.1
	"Certain infectious and parasitic diseases"	"A00-B99"	"Streptococcal septicaemia, unspecified"	"A40.9"	"California"	"06"	12	37253956	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Septicaemia due to Staphylococcus aureus"	"A41.0"	"Alabama"	"01"	12	4779736	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Septicaemia due to Staphylococcus aureus"	"A41.0"	"Arizona"	"04"	23	6392017	0.4
	"Certain infectious and parasitic diseases"	"A00-B99"	"Septicaemia due to Staphylococcus aureus"	"A41.0"	"California"	"06"	61	37253956	0.2
	"Certain infectious and parasitic diseases"	"A00-B99"	"Septicaemia due to Staphylococcus aureus"	"A41.0"	"Colorado"	"08"	12	5029196	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Septicaemia due to Staphylococcus aureus"	"A41.0"	"Florida"	"12"	42	18801310	0.2
	"Certain infectious and parasitic diseases"	"A00-B99"	"Septicaemia due to Staphylococcus aureus"	"A41.0"	"Georgia"	"13"	23	9687653	0.2
	"Certain infectious and parasitic diseases"	"A00-B99"	"Septicaemia due to Staphylococcus aureus"	"A41.0"	"Illinois"	"17"	38	12830632	0.3
	"Certain infectious and parasitic diseases"	"A00-B99"	"Septicaemia due to Staphylococcus aureus"	"A41.0"	"Indiana"	"18"	15	6483802	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Septicaemia due to Staphylococcus aureus"	"A41.0"	"Iowa"	"19"	13	3046355	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Septicaemia due to Staphylococcus aureus"	"A41.0"	"Kentucky"	"21"	10	4339367	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Septicaemia due to Staphylococcus aureus"	"A41.0"	"Louisiana"	"22"	10	4533372	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Septicaemia due to Staphylococcus aureus"	"A41.0"	"Maryland"	"24"	12	5773552	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Septicaemia due to Staphylococcus aureus"	"A41.0"	"Michigan"	"26"	22	9883640	0.2
	"Certain infectious and parasitic diseases"	"A00-B99"	"Septicaemia due to Staphylococcus aureus"	"A41.0"	"Minnesota"	"27"	12	5303925	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Septicaemia due to Staphylococcus aureus"	"A41.0"	"Missouri"	"29"	14	5988927	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Septicaemia due to Staphylococcus aureus"	"A41.0"	"New Jersey"	"34"	21	8791894	0.2
	"Certain infectious and parasitic diseases"	"A00-B99"	"Septicaemia due to Staphylococcus aureus"	"A41.0"	"New York"	"36"	47	19378102	0.2
	"Certain infectious and parasitic diseases"	"A00-B99"	"Septicaemia due to Staphylococcus aureus"	"A41.0"	"North Carolina"	"37"	19	9535483	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Septicaemia due to Staphylococcus aureus"	"A41.0"	"Ohio"	"39"	35	11536504	0.3
	"Certain infectious and parasitic diseases"	"A00-B99"	"Septicaemia due to Staphylococcus aureus"	"A41.0"	"Oklahoma"	"40"	19	3751351	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Septicaemia due to Staphylococcus aureus"	"A41.0"	"Oregon"	"41"	10	3831074	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Septicaemia due to Staphylococcus aureus"	"A41.0"	"Pennsylvania"	"42"	22	12702379	0.2
	"Certain infectious and parasitic diseases"	"A00-B99"	"Septicaemia due to Staphylococcus aureus"	"A41.0"	"South Carolina"	"45"	11	4625364	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Septicaemia due to Staphylococcus aureus"	"A41.0"	"Tennessee"	"47"	27	6346105	0.4
	"Certain infectious and parasitic diseases"	"A00-B99"	"Septicaemia due to Staphylococcus aureus"	"A41.0"	"Texas"	"48"	57	25145561	0.2
	"Certain infectious and parasitic diseases"	"A00-B99"	"Septicaemia due to Staphylococcus aureus"	"A41.0"	"Virginia"	"51"	13	8001024	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Septicaemia due to Staphylococcus aureus"	"A41.0"	"Washington"	"53"	19	6724540	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Septicaemia due to Staphylococcus aureus"	"A41.0"	"Wisconsin"	"55"	12	5686986	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Septicaemia due to unspecified staphylococcus"	"A41.2"	"California"	"06"	29	37253956	0.1
	"Certain infectious and parasitic diseases"	"A00-B99"	"Septicaemia due to unspecified staphylococcus"	"A41.2"	"Florida"	"12"	18	18801310	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Septicaemia due to unspecified staphylococcus"	"A41.2"	"Georgia"	"13"	19	9687653	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Septicaemia due to unspecified staphylococcus"	"A41.2"	"Illinois"	"17"	10	12830632	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Septicaemia due to unspecified staphylococcus"	"A41.2"	"Mississippi"	"28"	10	2967297	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Septicaemia due to unspecified staphylococcus"	"A41.2"	"New York"	"36"	16	19378102	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Septicaemia due to unspecified staphylococcus"	"A41.2"	"Ohio"	"39"	16	11536504	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Septicaemia due to unspecified staphylococcus"	"A41.2"	"Pennsylvania"	"42"	20	12702379	0.2
	"Certain infectious and parasitic diseases"	"A00-B99"	"Septicaemia due to unspecified staphylococcus"	"A41.2"	"South Carolina"	"45"	10	4625364	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Septicaemia due to unspecified staphylococcus"	"A41.2"	"Texas"	"48"	28	25145561	0.1
	"Certain infectious and parasitic diseases"	"A00-B99"	"Septicaemia due to unspecified staphylococcus"	"A41.2"	"Virginia"	"51"	10	8001024	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Septicaemia due to anaerobes"	"A41.4"	"New York"	"36"	12	19378102	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Septicaemia due to other Gram-negative organisms"	"A41.5"	"Alabama"	"01"	15	4779736	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Septicaemia due to other Gram-negative organisms"	"A41.5"	"Arizona"	"04"	26	6392017	0.4
