,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,United Nations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,1995152,Isle of Man,,833,B,430,"1,003","1,319","1,454","1,964","2,671","3,111","3,032","2,704","3,330","2,905","2,524","2,087","2,027","2,134","4,191","36,886",231,514,674,762,935,"1,278","1,562","1,472","1,336","1,634","1,462","1,266",998,921,949,"1,554","17,548",199,489,645,692,"1,029","1,393","1,549","1,560","1,368","1,696","1,443","1,258","1,089","1,106","1,185","2,637","19,338",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,1995153,Latvia,,428,B,"1,300","2,876","6,381","10,249","12,714","17,394","27,094","43,493","55,802","58,912","56,608","53,221","50,049","45,152","45,342","51,506","538,093",704,"1,531","3,364","5,371","6,517","8,634","13,074","20,694","26,370","27,352","25,885","23,781","21,463","17,441","16,412","15,623","234,216",596,"1,345","3,017","4,878","6,197","8,760","14,020","22,799","29,432","31,560","30,723","29,440","28,586","27,711","28,930","35,883","303,877",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,1995154,Lithuania,,440,B,"3,730","4,148","4,209","6,021","7,974","11,116","17,878","26,031","31,344","30,580","25,381","20,635","22,073","25,406","21,250","15,811","273,587","1,987","2,208","2,241","3,191","4,177","5,700","9,023","13,028","15,627","15,051","12,246","9,686","9,885","10,747","8,108","5,736","128,641","1,743","1,940","1,968","2,830","3,797","5,416","8,855","13,003","15,717","15,529","13,135","10,949","12,188","14,659","13,142","10,075","144,946",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,1995155,Norway,17,578,B,"5,821","10,635","11,960","13,970","20,584","28,206","29,357","26,753","22,284","17,404","12,596","9,911","7,162","6,476","3,928","6,255","233,302","2,969","5,377","6,007","6,919","10,181","14,244","15,218","14,181","11,921","9,231","6,544","4,950","3,155","2,942","1,545","1,838","117,222","2,852","5,258","5,953","7,051","10,403","13,962","14,139","12,572","10,363","8,173","6,052","4,961","4,007","3,534","2,383","4,417","116,080",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,1995156,Sweden,,752,B,"11,819","34,735","45,394","44,577","55,485","79,011","96,640","94,643","87,428","85,447","68,482","62,375","51,763","45,362","34,458","38,403","936,022","6,034","17,772","23,258","22,400","25,897","38,339","50,171","47,973","43,094","41,881","35,617","31,232","23,161","18,576","13,323","12,217","450,945","5,785","16,963","22,136","22,177","29,588","40,672","46,469","46,670","44,334","43,566","32,865","31,143","28,602","26,786","21,135","26,186","485,077",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,1995157,United Kingdom,,826,B,"69,999","112,938","134,764","185,500","317,708","416,850","434,863","410,473","381,868","326,776","300,338","248,970","240,507","206,308","154,459","212,972","4,155,293","35,937","58,032","69,564","94,065","146,074","195,080","209,741","198,873","181,549","154,868","143,297","120,234","115,868","100,152","69,833","85,544","1,978,711","34,062","54,906","65,200","91,435","171,634","221,770","225,122","211,600","200,319","171,908","157,041","128,736","124,639","106,156","84,626","127,428","2,176,582",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,1995158,Southern Europe,,925,,"154,724","233,549","320,816","404,888","551,673","677,981","676,943","603,894","493,966","399,694","336,884","263,034","231,349","174,076","179,526","281,899","5,985,675","79,890","120,558","165,600","207,692","277,678","333,973","330,480","292,065","234,460","187,084","156,082","117,288","100,568","72,629","73,523","106,904","2,856,852","74,834","112,991","155,216","197,196","273,995","344,008","346,463","311,829","259,506","212,610","180,802","145,746","130,781","101,447","106,003","174,995","3,128,823",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,1995159,Albania,,8,B,"5,796","5,768","5,714","5,789","6,478","6,762","7,352","7,375","5,889","3,972","2,589","1,857","1,407","1,175","1,352","2,079","71,354","3,174","3,188","3,173","3,193","3,527","3,525","3,579","3,251","2,170","1,234",831,668,465,342,406,558,"33,284","2,622","2,580","2,541","2,596","2,951","3,237","3,773","4,124","3,719","2,738","1,758","1,189",942,833,946,"1,521","38,070",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,1995160,Andorra,,20,C,870,"1,367","1,674","1,969","3,038","4,557","5,106","4,609","3,814","2,947","2,447","2,033","1,809","1,397","1,116","1,772","40,525",435,688,845,984,"1,538","2,391","2,760","2,546","2,120","1,612","1,305","1,064",939,751,572,901,"21,451",435,679,829,985,"1,500","2,166","2,346","2,063","1,694","1,335","1,142",969,870,646,544,871,"19,074",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,1995161,Bosnia and Herzegovina,,70,I R,"3,370","3,242","2,301","3,011","5,332","6,103","5,835","5,766","5,959","5,691","5,307","4,602","4,301","3,830","3,048","1,778","69,476","1,867","1,785","1,258","1,583","2,601","2,804","2,647","2,663","2,779","2,673","2,502","2,172","1,947","1,734","1,332",768,"33,115","1,503","1,457","1,043","1,428","2,731","3,299","3,188","3,103","3,180","3,018","2,805","2,430","2,354","2,096","1,716","1,010","36,361",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,1995162,Croatia,,191,B R,"4,762","12,968","22,442","27,489","37,049","52,922","64,516","71,391","68,583","59,210","59,675","49,113","50,077","39,044","25,087","29,757","674,085","2,450","6,635","11,455","13,809","17,103","23,720","29,950","33,720","32,764","29,232","29,856","24,479","24,033","17,040","9,887","9,600","315,733","2,312","6,333","10,987","13,680","19,946","29,202","34,566","37,671","35,819","29,978","29,819","24,634","26,044","22,004","15,200","20,157","358,352",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,1995163,Gibraltar,,292,B,629,598,529,466,659,904,975,936,788,595,467,338,236,118,59,84,"8,381",296,277,245,219,308,426,477,476,418,324,261,192,134,68,34,41,"4,196",333,321,284,247,351,478,498,460,370,271,206,146,102,50,25,43,"4,185",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,1995164,Greece,,300,B,"45,794","53,336","59,788","66,919","93,263","106,673","99,402","80,435","69,481","51,530","38,842","26,512","21,598","8,635","8,609","27,033","857,850","24,090","28,231","31,894","36,332","50,949","56,885","51,408","40,505","34,454","25,517","19,690","13,612","10,669","4,379","4,068","12,321","445,004","21,704","25,105","27,894","30,587","42,314","49,788","47,994","39,930","35,027","26,013","19,152","12,900","10,929","4,256","4,541","14,712","412,846",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,1995165,Holy See,18,336,I,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,780,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,378,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,1995166,Italy,,380,B,"41,287","67,156","93,012","125,954","175,753","229,083","234,379","194,414","137,783","98,477","81,475","63,006","45,782","38,136","52,424","96,832","1,774,953","21,047","34,234","47,339","63,299","86,101","109,247","111,973","92,620","62,950","41,901","32,621","24,582","16,695","13,931","19,590","31,423","809,553","20,240","32,922","45,673","62,655","89,652","119,836","122,406","101,794","74,833","56,576","48,854","38,424","29,087","24,205","32,834","65,409","965,400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,1995167,Malta,,470,B,435,"1,326","1,701","1,827","1,987","2,272","1,792","1,300",924,833,712,551,543,508,450,579,"17,740",226,687,881,923,969,"1,055",793,572,417,386,326,242,234,218,195,242,"8,366",209,639,820,904,"1,018","1,217",999,728,507,447,386,309,309,290,255,337,"9,374",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,1995168,Montenegro,,499,B,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,1995169,Portugal,,620,B,"14,943","27,767","50,282","66,732","74,513","73,036","56,784","42,716","31,572","22,711","16,814","13,960","11,827","8,081","9,837","11,247","532,822","7,723","14,319","25,792","33,981","37,582","36,380","27,771","20,476","14,834","10,500","7,633","6,194","5,071","3,274","3,729","4,078","259,337","7,220","13,448","24,490","32,751","36,931","36,656","29,013","22,240","16,738","12,211","9,181","7,766","6,756","4,807","6,108","7,169","273,485",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,1995170,San Marino,,674,C,134,163,152,150,336,533,600,483,387,255,163,107,74,46,28,48,"3,659",62,75,70,71,165,274,321,266,222,149,97,63,43,26,16,20,"1,940",72,88,82,79,171,259,279,217,165,106,66,44,31,20,12,28,"1,719",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,1995171,Serbia,19,688,B,"3,610","10,546","21,216","27,271","31,193","37,782","40,811","48,014","56,399","65,348","57,771","42,498","43,884","34,810","45,270","63,798","630,221","1,961","5,697","11,321","14,240","15,608","18,121","19,039","22,391","26,556","30,999","27,527","17,588","17,895","13,837","19,707","27,058","289,545","1,649","4,849","9,895","13,031","15,585","19,661","21,772","25,623","29,843","34,349","30,244","24,910","25,989","20,973","25,563","36,740","340,676",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,1995172,Slovenia,,705,B,"1,123","2,625","4,339","6,298","8,659","14,214","18,763","21,910","21,357","19,976","15,481","11,356","9,609","7,203","4,451","7,055","174,419",577,"1,333","2,187","3,221","4,503","7,381","9,509","11,056","11,026","10,742","8,548","6,310","5,211","3,635","2,027","2,989","90,255",546,"1,292","2,152","3,077","4,156","6,833","9,254","10,854","10,331","9,234","6,933","5,046","4,398","3,568","2,424","4,066","84,164",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,1995173,Spain,20,724,B,"27,218","44,032","54,914","70,066","107,495","137,918","133,906","116,161","80,732","58,168","43,510","34,905","29,589","23,672","22,272","35,509","1,020,067","13,532","22,051","27,723","35,381","54,191","69,712","67,635","58,105","39,518","27,667","20,045","15,079","12,868","10,336","9,893","15,378","499,114","13,686","21,981","27,191","34,685","53,304","68,206","66,271","58,056","41,214","30,501","23,465","19,826","16,721","13,336","12,379","20,131","520,953",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,1995174,TFYR Macedonia,21,807,B,"4,753","2,655","2,752",947,"5,918","5,222","6,722","8,384","10,298","9,981","11,631","12,196","10,613","7,421","5,523","4,327","109,343","2,450","1,358","1,417",456,"2,533","2,052","2,618","3,418","4,232","4,148","4,840","5,043","4,364","3,058","2,067","1,527","45,581","2,303","1,297","1,335",491,"3,385","3,170","4,104","4,966","6,066","5,833","6,791","7,153","6,249","4,363","3,456","2,800","63,762",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,1995175,Western Europe,,926,,"273,797","444,903","646,429","916,850","1,316,620","1,698,696","1,943,375","1,980,050","1,877,600","1,598,574","1,384,301","1,129,045","947,339","726,921","579,989","878,042","18,342,531","140,730","229,591","335,048","469,706","663,121","852,959","992,179","1,031,467","987,348","843,550","733,975","598,657","479,722","373,511","283,908","349,926","9,365,398","133,067","215,312","311,381","447,144","653,499","845,737","951,196","948,583","890,252","755,024","650,326","530,388","467,617","353,410","296,081","528,116","8,977,133",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,1995176,Austria,,40,B,"14,723","19,232","25,392","41,398","65,928","81,157","89,200","96,696","89,166","74,434","67,630","58,409","50,659","43,280","31,927","45,662","894,893","7,336","9,604","12,838","20,972","31,313","36,845","43,394","50,029","45,702","36,754","33,603","27,984","23,043","17,842","12,319","13,724","423,302","7,387","9,628","12,554","20,426","34,615","44,312","45,806","46,667","43,464","37,680","34,027","30,425","27,616","25,438","19,608","31,938","471,591",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,1995177,Belgium,,56,C,"54,531","58,763","56,875","60,450","70,893","88,782","91,953","83,841","71,448","59,184","52,982","44,112","38,694","28,713","22,190","26,358","909,769","27,780","30,024","28,877","30,261","34,892","46,198","49,802","46,546","40,081","33,284","29,923","24,549","20,854","15,403","11,359","11,189","481,022","26,751","28,739","27,998","30,189","36,001","42,584","42,151","37,295","31,367","25,900","23,059","19,563","17,840","13,310","10,831","15,169","428,747",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,1995178,France,,250,B,"50,180","104,060","159,481","214,909","315,386","429,553","549,881","621,484","643,306","585,337","516,349","442,019","375,330","320,066","268,723","491,929","6,087,993","25,692","53,137","81,186","108,106","155,468","209,290","269,633","310,843","330,828","310,642","281,457","241,908","188,941","165,338","127,599","186,015","3,046,083","24,488","50,923","78,295","106,803","159,918","220,263","280,248","310,641","312,478","274,695","234,892","200,111","186,389","154,728","141,124","305,914","3,041,910",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,1995179,Germany,,276,B,"65,399","144,512","269,804","433,746","626,084","775,092","862,887","856,618","793,258","649,280","536,436","429,558","359,117","241,012","191,262","230,341","7,464,406","35,055","77,800","145,220","228,481","323,596","398,391","449,245","453,605","420,192","339,189","276,952","222,743","185,124","130,226","104,432","108,146","3,898,397","30,344","66,712","124,584","205,265","302,488","376,701","413,642","403,013","373,066","310,091","259,484","206,815","173,993","110,786","86,830","122,195","3,566,009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,1995180,Liechtenstein,,438,B,978,974,937,927,"1,154","1,303","1,273","1,192","1,137","1,065",772,438,331,338,181,311,"13,311",509,518,493,469,545,596,614,635,668,666,490,274,194,183,86,128,"7,068",469,456,444,458,609,707,659,557,469,399,282,164,137,155,95,183,"6,243",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,1995181,Luxembourg,,442,B,"2,676","4,120","4,959","5,503","8,829","13,416","15,225","14,430","13,087","10,375","9,206","6,779","5,571","3,814","2,929","5,187","126,106","1,355","2,084","2,498","2,748","4,366","6,637","7,620","7,365","6,782","5,417","4,764","3,340","2,616","1,661","1,155","1,884","62,292","1,321","2,036","2,461","2,755","4,463","6,779","7,605","7,065","6,305","4,958","4,442","3,439","2,955","2,153","1,774","3,303","63,814",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,1995182,Monaco,,492,B,503,544,556,604,753,"1,062","1,425","1,668","1,732","1,708","1,729","1,716","1,549","1,326","1,424","2,761","21,060",247,272,282,302,363,501,676,807,853,861,863,843,724,595,613,"1,153","9,955",256,272,274,302,390,561,749,861,879,847,866,873,825,731,811,"1,608","11,105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,1995183,Netherlands,,528,B,"21,559","41,042","57,733","83,794","116,427","153,369","160,922","146,130","129,251","101,478","91,238","63,483","53,383","46,337","35,431","44,587","1,346,164","10,212","19,410","27,107","38,761","54,368","73,789","81,061","75,733","67,915","53,720","48,111","33,292","26,895","22,704","15,806","19,352","668,236","11,347","21,632","30,626","45,033","62,059","79,580","79,861","70,397","61,336","47,758","43,127","30,191","26,488","23,633","19,625","25,235","677,928",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,1995184,Switzerland,,756,B,"63,248","71,656","70,692","75,519","111,166","154,962","170,609","157,991","135,215","115,713","107,959","82,531","62,705","42,035","25,922","30,906","1,478,829","32,544","36,742","36,547","39,606","58,210","80,712","90,134","85,904","74,327","63,017","57,812","43,724","31,331","19,559","10,539","8,335","769,043","30,704","34,914","34,145","35,913","52,956","74,250","80,475","72,087","60,888","52,696","50,147","38,807","31,374","22,476","15,383","22,571","709,786",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,1995185,LATIN AMERICA AND THE CARIBBEAN,,904,,"288,575","345,781","349,881","389,504","475,544","526,975","543,004","534,858","519,546","465,398","434,585","376,842","359,309","335,624","272,151","477,063","6,694,640","150,071","177,309","177,018","192,870","232,438","257,243","268,208","267,635","262,923","238,523","224,984","196,520","184,646","172,572","135,138","211,671","3,349,769","138,504","168,472","172,863","196,634","243,106","269,732","274,796","267,223","256,623","226,875","209,601","180,322","174,663","163,052","137,013","265,392","3,344,871",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,1995186,Caribbean,,915,,"74,378","77,795","84,772","95,954","117,724","123,114","118,868","99,792","81,013","65,542","53,648","39,131","33,718","27,963","24,185","37,103","1,154,700","41,385","42,237","44,985","50,544","61,417","62,800","59,272","49,489","40,454","32,853","27,187","19,839","17,550","14,839","12,927","18,914","596,692","32,993","35,558","39,787","45,410","56,307","60,314","59,596","50,303","40,559","32,689","26,461","19,292","16,168","13,124","11,258","18,189","558,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,1995187,Anguilla,,660,B,282,249,222,235,306,358,379,354,278,193,133,106,93,52,45,32,"3,317",131,115,103,112,150,175,180,168,140,102,68,51,42,19,17,11,"1,584",151,134,119,123,156,183,199,186,138,91,65,55,51,33,28,21,"1,733",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,1995188,Antigua and Barbuda,,28,B,"1,528",946,"1,039","1,329","1,678","2,054","2,197","1,976","1,482",877,629,525,481,305,197,307,"17,550",679,419,459,604,784,958,997,900,713,442,307,239,209,135,87,114,"8,046",849,527,580,725,894,"1,096","1,200","1,076",769,435,322,286,272,170,110,193,"9,504",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,1995189,Aruba,,533,B,396,"1,385","1,246","1,162","2,431","3,482","3,215","2,519","1,952","1,445",866,616,459,409,275,416,"22,274",208,711,623,559,"1,124","1,559","1,396","1,058",811,599,364,270,205,188,133,166,"9,974",188,674,623,603,"1,307","1,923","1,819","1,461","1,141",846,502,346,254,221,142,250,"12,300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
